league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Ligue 1,926767,2024-08-16,18:45,3139,Le Havre,4228,PSG,finished,1,4
Ligue 1,926760,2024-08-17,15:00,3199,Brest,3769,Marseille,finished,1,5
Ligue 1,926765,2024-08-17,17:00,3354,Reims,4229,Lille,finished,0,2
Ligue 1,926764,2024-08-17,19:00,4234,Monaco,3386,Saint-Etienne,finished,1,0
Ligue 1,926766,2024-08-18,13:00,3002,Auxerre,3027,Nice,finished,2,1
Ligue 1,926761,2024-08-18,15:00,3375,Montpellier,4231,Strasbourg,finished,1,1
Ligue 1,926763,2024-08-18,15:00,2849,Angers,3295,Lens,finished,0,1
Ligue 1,926762,2024-08-18,15:00,3129,Toulouse,4232,Nantes,finished,0,0
Ligue 1,926768,2024-08-18,18:45,3001,Rennes,4230,Lyon,finished,3,0
Ligue 1,926769,2024-08-23,18:45,4228,PSG,3375,Montpellier,finished,6,0
Ligue 1,926776,2024-08-24,15:00,4230,Lyon,4234,Monaco,finished,0,2
Ligue 1,926773,2024-08-24,17:00,4229,Lille,2849,Angers,finished,2,0
Ligue 1,926772,2024-08-24,19:00,3386,Saint-Etienne,3139,Le Havre,finished,0,2
Ligue 1,926775,2024-08-25,13:00,3295,Lens,3199,Brest,finished,2,0
Ligue 1,926770,2024-08-25,15:00,4231,Strasbourg,3001,Rennes,finished,3,1
Ligue 1,926774,2024-08-25,15:00,3027,Nice,3129,Toulouse,finished,1,1
Ligue 1,926771,2024-08-25,15:00,4232,Nantes,3002,Auxerre,finished,2,0
Ligue 1,926777,2024-08-25,18:45,3769,Marseille,3354,Reims,finished,2,2
Ligue 1,926779,2024-08-30,18:45,4230,Lyon,4231,Strasbourg,finished,4,3
Ligue 1,926780,2024-08-31,15:00,3199,Brest,3386,Saint-Etienne,finished,4,0
Ligue 1,926781,2024-08-31,17:00,3375,Montpellier,4232,Nantes,finished,1,3
Ligue 1,926786,2024-08-31,19:00,3129,Toulouse,3769,Marseille,finished,1,3
Ligue 1,926783,2024-09-01,13:00,4234,Monaco,3295,Lens,finished,1,1
Ligue 1,926785,2024-09-01,15:00,3354,Reims,3001,Rennes,finished,2,1
Ligue 1,926784,2024-09-01,15:00,3139,Le Havre,3002,Auxerre,finished,3,1
Ligue 1,926782,2024-09-01,15:00,2849,Angers,3027,Nice,finished,1,4
Ligue 1,926778,2024-09-01,18:45,4229,Lille,4228,PSG,finished,1,3
Ligue 1,926793,2024-09-13,18:45,3386,Saint-Etienne,4229,Lille,finished,1,0
Ligue 1,926794,2024-09-14,15:00,3769,Marseille,3027,Nice,finished,2,0
Ligue 1,926787,2024-09-14,17:00,3002,Auxerre,4234,Monaco,finished,0,3
Ligue 1,926795,2024-09-14,19:00,4228,PSG,3199,Brest,finished,3,1
Ligue 1,926788,2024-09-15,13:00,3001,Rennes,3375,Montpellier,finished,3,0
Ligue 1,926790,2024-09-15,15:00,4232,Nantes,3354,Reims,finished,1,2
Ligue 1,926792,2024-09-15,15:00,4231,Strasbourg,2849,Angers,finished,1,1
Ligue 1,926791,2024-09-15,15:00,3129,Toulouse,3139,Le Havre,finished,2,0
Ligue 1,926789,2024-09-15,18:45,3295,Lens,4230,Lyon,finished,0,0
Ligue 1,926797,2024-09-20,18:45,3027,Nice,3386,Saint-Etienne,finished,8,0
Ligue 1,926802,2024-09-21,15:00,4229,Lille,4231,Strasbourg,finished,3,3
Ligue 1,926803,2024-09-21,17:00,3001,Rennes,3295,Lens,finished,1,1
Ligue 1,926798,2024-09-21,19:00,3354,Reims,4228,PSG,finished,1,1
Ligue 1,926804,2024-09-22,13:00,4234,Monaco,3139,Le Havre,finished,3,1
Ligue 1,926800,2024-09-22,15:00,2849,Angers,4232,Nantes,finished,1,1
Ligue 1,926799,2024-09-22,15:00,3199,Brest,3129,Toulouse,finished,2,0
