league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Premyer Liqa,937266,2024-08-02,16:00,5058,Araz Naxcivan,2947,Qarabag,finished,1,4
Premyer Liqa,937269,2024-08-03,14:30,3594,Neftchi Baku,3889,Turan,finished,0,0
Premyer Liqa,937270,2024-08-03,16:45,3514,Sumqayit,3890,Kapaz,finished,2,0
Premyer Liqa,937958,2024-08-04,13:30,3795,Sabah,3785,Shamakhi,finished,2,2
Premyer Liqa,937268,2024-08-04,16:00,3604,Zira,3888,Sabail,finished,4,1
Premyer Liqa,937877,2024-08-09,16:00,2947,Qarabag,3890,Kapaz,finished,3,0
Premyer Liqa,937881,2024-08-10,14:45,5058,Araz Naxcivan,3785,Shamakhi,finished,1,0
Premyer Liqa,937879,2024-08-10,17:00,3888,Sabail,3594,Neftchi Baku,finished,1,1
Premyer Liqa,937878,2024-08-11,14:45,3889,Turan,3514,Sumqayit,finished,1,0
Premyer Liqa,937880,2024-08-11,17:00,3795,Sabah,3604,Zira,finished,0,2
Premyer Liqa,937886,2024-08-17,14:15,3890,Kapaz,3889,Turan,finished,0,3
Premyer Liqa,937885,2024-08-17,16:30,3514,Sumqayit,3888,Sabail,finished,2,1
Premyer Liqa,937884,2024-08-18,16:30,3594,Neftchi Baku,3795,Sabah,finished,0,2
Premyer Liqa,937888,2024-08-23,15:00,3888,Sabail,3890,Kapaz,finished,4,0
Premyer Liqa,937887,2024-08-24,14:15,2947,Qarabag,3889,Turan,finished,0,1
Premyer Liqa,937890,2024-08-24,16:30,5058,Araz Naxcivan,3594,Neftchi Baku,finished,1,1
Premyer Liqa,937889,2024-08-25,14:15,3795,Sabah,3514,Sumqayit,finished,3,1
Premyer Liqa,937931,2024-08-25,16:30,3604,Zira,3785,Shamakhi,finished,0,1
Premyer Liqa,937896,2024-08-30,13:45,3889,Turan,3888,Sabail,finished,1,0
Premyer Liqa,937894,2024-08-30,16:00,3514,Sumqayit,5058,Araz Naxcivan,finished,0,1
Premyer Liqa,937933,2024-08-31,13:00,3785,Shamakhi,3594,Neftchi Baku,finished,0,0
Premyer Liqa,937895,2024-08-31,15:30,3890,Kapaz,3795,Sabah,finished,2,3
Premyer Liqa,937892,2024-09-01,16:45,3604,Zira,2947,Qarabag,finished,1,3
Premyer Liqa,937899,2024-09-13,15:30,5058,Araz Naxcivan,3890,Kapaz,finished,1,0
Premyer Liqa,937900,2024-09-14,12:30,3785,Shamakhi,3514,Sumqayit,finished,1,0
Premyer Liqa,937897,2024-09-14,15:00,2947,Qarabag,3888,Sabail,finished,2,1
Premyer Liqa,937901,2024-09-15,14:00,3604,Zira,3594,Neftchi Baku,finished,2,0
Premyer Liqa,937898,2024-09-15,16:30,3795,Sabah,3889,Turan,finished,2,2
Premyer Liqa,937904,2024-09-20,13:00,3890,Kapaz,3785,Shamakhi,finished,0,2
Premyer Liqa,937942,2024-09-20,16:00,2947,Qarabag,3594,Neftchi Baku,finished,4,0
Premyer Liqa,937905,2024-09-21,14:00,3889,Turan,5058,Araz Naxcivan,finished,1,2
Premyer Liqa,937906,2024-09-22,14:00,3888,Sabail,3795,Sabah,finished,2,4
Premyer Liqa,937903,2024-09-22,16:30,3514,Sumqayit,3604,Zira,finished,0,2
Premyer Liqa,937908,2024-09-27,15:00,5058,Araz Naxcivan,3888,Sabail,finished,3,2
Premyer Liqa,937910,2024-09-28,13:00,3604,Zira,3890,Kapaz,finished,3,0
Premyer Liqa,937911,2024-09-28,15:30,3594,Neftchi Baku,3514,Sumqayit,finished,1,1
Premyer Liqa,937909,2024-09-29,12:00,3785,Shamakhi,3889,Turan,finished,2,2
Premyer Liqa,937907,2024-09-29,15:00,2947,Qarabag,3795,Sabah,finished,3,2
Premyer Liqa,937913,2024-10-04,13:00,3890,Kapaz,3594,Neftchi Baku,finished,4,3
Premyer Liqa,937915,2024-10-05,13:00,3888,Sabail,3785,Shamakhi,finished,2,0
Premyer Liqa,937916,2024-10-05,15:30,3795,Sabah,5058,Araz Naxcivan,finished,1,1
Premyer Liqa,937914,2024-10-06,13:45,3889,Turan,3604,Zira,finished,1,0
Premyer Liqa,937912,2024-10-06,16:00,3514,Sumqayit,2947,Qarabag,finished,0,1
Premyer Liqa,937917,2024-10-18,14:00,3890,Kapaz,2947,Qarabag,finished,0,5
Premyer Liqa,937921,2024-10-19,11:30,3785,Shamakhi,5058,Araz Naxcivan,finished,0,1
Premyer Liqa,937919,2024-10-19,14:00,3594,Neftchi Baku,3888,Sabail,finished,3,1
Premyer Liqa,937920,2024-10-20,13:30,3604,Zira,3795,Sabah,finished,1,1
Premyer Liqa,937918,2024-10-20,16:00,3514,Sumqayit,3889,Turan,finished,2,4
Premyer Liqa,937926,2024-10-25,15:00,3889,Turan,3890,Kapaz,finished,2,1
Premyer Liqa,937923,2024-10-26,12:00,5058,Araz Naxcivan,3604,Zira,finished,1,1
Premyer Liqa,937925,2024-10-26,14:30,3888,Sabail,3514,Sumqayit,finished,0,1
Premyer Liqa,937924,2024-10-27,13:00,3795,Sabah,3594,Neftchi Baku,finished,0,0
Premyer Liqa,937922,2024-10-27,15:00,2947,Qarabag,3785,Shamakhi,finished,3,0
Premyer Liqa,937927,2024-11-01,14:30,3889,Turan,2947,Qarabag,finished,0,0
Premyer Liqa,937930,2024-11-01,16:30,3594,Neftchi Baku,5058,Araz Naxcivan,finished,0,1
Premyer Liqa,937891,2024-11-02,11:00,3785,Shamakhi,3604,Zira,finished,0,2
Premyer Liqa,937928,2024-11-03,12:00,3890,Kapaz,3888,Sabail,finished,1,0
Premyer Liqa,937929,2024-11-03,15:00,3514,Sumqayit,3795,Sabah,finished,1,0
Premyer Liqa,937883,2024-11-06,15:00,3604,Zira,5058,Araz Naxcivan,finished,0,1
Premyer Liqa,937893,2024-11-08,11:00,3594,Neftchi Baku,3785,Shamakhi,finished,2,2
Premyer Liqa,937936,2024-11-09,13:00,3888,Sabail,3889,Turan,finished,1,1
Premyer Liqa,937935,2024-11-09,15:30,3795,Sabah,3890,Kapaz,finished,2,2
Premyer Liqa,937934,2024-11-10,12:00,5058,Araz Naxcivan,3514,Sumqayit,finished,1,0
Premyer Liqa,937932,2024-11-10,15:00,2947,Qarabag,3604,Zira,finished,4,0
Premyer Liqa,937939,2024-11-22,13:00,3890,Kapaz,5058,Araz Naxcivan,finished,0,2
Premyer Liqa,937937,2024-11-23,13:00,3888,Sabail,2947,Qarabag,finished,0,3
Premyer Liqa,937941,2024-11-23,15:00,3594,Neftchi Baku,3604,Zira,finished,2,1
Premyer Liqa,937938,2024-11-24,13:00,3889,Turan,3795,Sabah,finished,1,1
Premyer Liqa,937940,2024-11-24,15:00,3514,Sumqayit,3785,Shamakhi,finished,2,1
Premyer Liqa,937945,2024-11-29,12:00,5058,Araz Naxcivan,3889,Turan,finished,1,0
Premyer Liqa,937946,2024-11-29,15:00,3795,Sabah,3888,Sabail,finished,1,0
Premyer Liqa,937944,2024-11-30,10:30,3785,Shamakhi,3890,Kapaz,finished,0,1
Premyer Liqa,937943,2024-11-30,13:00,3604,Zira,3514,Sumqayit,finished,4,1
Premyer Liqa,937902,2024-12-01,15:00,3594,Neftchi Baku,2947,Qarabag,finished,0,3
Premyer Liqa,937948,2024-12-07,11:00,3888,Sabail,5058,Araz Naxcivan,finished,0,2
Premyer Liqa,937947,2024-12-07,14:00,3795,Sabah,2947,Qarabag,finished,1,1
Premyer Liqa,937950,2024-12-08,12:00,3890,Kapaz,3604,Zira,finished,0,4
Premyer Liqa,937951,2024-12-08,14:00,3514,Sumqayit,3594,Neftchi Baku,finished,2,0
