league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Championship,928426,2024-08-09,19:00,2908,Blackburn Rovers,3064,Derby County,finished,4,2
Championship,928427,2024-08-09,19:00,4154,Preston North End,4146,Sheffield United,finished,0,2
Championship,928430,2024-08-10,11:30,4147,Leeds United,4165,Portsmouth,finished,3,3
Championship,928428,2024-08-10,11:30,3285,Cardiff City,3073,Sunderland,finished,0,2
Championship,928435,2024-08-10,11:30,4143,Stoke City,4161,Coventry City,finished,1,0
Championship,928429,2024-08-10,11:30,4153,Hull City,4151,Bristol City,finished,1,1
Championship,928434,2024-08-10,11:30,4155,Queens Park Rangers,4144,West Bromwich Albion,finished,1,3
Championship,928431,2024-08-10,11:30,4150,Middlesbrough,3318,Swansea City,finished,1,0
Championship,928432,2024-08-10,11:30,3308,Millwall,2826,Watford,finished,2,3
Championship,928433,2024-08-10,11:30,4168,Oxford United,3311,Norwich City,finished,2,0
Championship,928436,2024-08-11,15:00,4152,Sheffield Wednesday,4164,Plymouth Argyle,finished,4,0
Championship,928437,2024-08-12,19:00,4158,Luton Town,3104,Burnley,finished,1,4
Championship,928440,2024-08-16,19:00,4161,Coventry City,4168,Oxford United,finished,3,2
Championship,928441,2024-08-17,11:30,3064,Derby County,4150,Middlesbrough,finished,1,0
Championship,928444,2024-08-17,11:30,4165,Portsmouth,4158,Luton Town,finished,0,0
Championship,928449,2024-08-17,11:30,4144,West Bromwich Albion,4147,Leeds United,finished,0,0
Championship,928439,2024-08-17,14:00,3104,Burnley,3285,Cardiff City,finished,5,0
Championship,928448,2024-08-17,14:00,2826,Watford,4143,Stoke City,finished,3,0
Championship,928443,2024-08-17,14:00,4164,Plymouth Argyle,4153,Hull City,finished,1,1
Championship,928447,2024-08-17,14:00,3318,Swansea City,4154,Preston North End,finished,3,0
Championship,928438,2024-08-17,14:00,4151,Bristol City,3308,Millwall,finished,4,3
Championship,928442,2024-08-17,14:00,3311,Norwich City,2908,Blackburn Rovers,finished,2,2
Championship,928445,2024-08-17,14:00,4146,Sheffield United,4155,Queens Park Rangers,finished,2,2
Championship,928446,2024-08-18,11:00,3073,Sunderland,4152,Sheffield Wednesday,finished,4,0
Championship,928457,2024-08-23,19:00,4152,Sheffield Wednesday,4147,Leeds United,finished,0,2
Championship,928456,2024-08-24,11:30,4155,Queens Park Rangers,4164,Plymouth Argyle,finished,1,1
Championship,928452,2024-08-24,11:30,4153,Hull City,3308,Millwall,finished,0,0
Championship,928451,2024-08-24,11:30,4151,Bristol City,4161,Coventry City,finished,1,1
Championship,928454,2024-08-24,14:00,3311,Norwich City,4146,Sheffield United,finished,1,1
Championship,928459,2024-08-24,14:00,3073,Sunderland,3104,Burnley,finished,1,0
Championship,928458,2024-08-24,14:00,4143,Stoke City,4144,West Bromwich Albion,finished,1,2
Championship,928450,2024-08-24,14:00,2908,Blackburn Rovers,4168,Oxford United,finished,2,1
Championship,928453,2024-08-24,14:00,4150,Middlesbrough,4165,Portsmouth,finished,2,2
Championship,928455,2024-08-24,14:00,4154,Preston North End,4158,Luton Town,finished,1,0
Championship,928461,2024-08-24,14:00,2826,Watford,3064,Derby County,finished,2,1
