league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
First Division,938881,2024-09-14,18:30,5055,Pas de la Casa,3483,Ordino,finished,1,2
First Division,938880,2024-09-15,09:00,3456,UE Santa Coloma,3487,FC Santa Coloma,finished,0,1
First Division,938878,2024-09-15,11:30,3546,Inter Club d'Escaldes,3490,La Massana,finished,6,1
First Division,938879,2024-09-15,14:00,12117,Ranger's,5054,Esperanca d'Andorra,finished,4,0
First Division,938877,2024-09-15,16:30,3484,Penya Encarnada,3482,Atletic Club d'Escaldes,finished,0,0
First Division,938885,2024-09-21,18:30,3487,FC Santa Coloma,12117,Ranger's,finished,1,1
First Division,938884,2024-09-22,09:00,5054,Esperanca d'Andorra,3546,Inter Club d'Escaldes,finished,0,3
First Division,938882,2024-09-22,11:30,3482,Atletic Club d'Escaldes,5055,Pas de la Casa,finished,3,2
First Division,938883,2024-09-22,14:00,3490,La Massana,3484,Penya Encarnada,finished,1,3
First Division,938886,2024-09-22,16:30,3483,Ordino,3456,UE Santa Coloma,finished,0,2
First Division,938891,2024-09-28,18:30,5055,Pas de la Casa,3456,UE Santa Coloma,finished,2,2
First Division,938890,2024-09-29,09:00,12117,Ranger's,3483,Ordino,finished,3,0
First Division,938888,2024-09-29,11:30,3484,Penya Encarnada,5054,Esperanca d'Andorra,finished,4,1
First Division,938889,2024-09-29,14:00,3546,Inter Club d'Escaldes,3487,FC Santa Coloma,finished,2,0
First Division,938887,2024-09-29,16:30,3482,Atletic Club d'Escaldes,3490,La Massana,finished,3,1
First Division,938893,2024-10-05,18:30,5054,Esperanca d'Andorra,3482,Atletic Club d'Escaldes,finished,0,5
First Division,938892,2024-10-06,09:00,3490,La Massana,5055,Pas de la Casa,finished,0,4
First Division,938896,2024-10-06,11:30,3456,UE Santa Coloma,12117,Ranger's,finished,0,1
First Division,938895,2024-10-06,14:00,3483,Ordino,3546,Inter Club d'Escaldes,finished,0,4
First Division,938894,2024-10-06,16:30,3487,FC Santa Coloma,3484,Penya Encarnada,finished,2,1
First Division,938897,2024-10-19,18:30,3490,La Massana,5054,Esperanca d'Andorra,finished,1,1
First Division,938898,2024-10-20,09:00,3482,Atletic Club d'Escaldes,3487,FC Santa Coloma,finished,4,2
