league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Super League,939901,2024-09-13,14:00,4376,Mohun Bagan SG,4367,Mumbai City,finished,2,2
Super League,939902,2024-09-14,11:30,4372,Odisha,4374,Chennaiyin,finished,2,3
Super League,939903,2024-09-14,14:00,4365,Bengaluru,4377,East Bengal,finished,1,0
Super League,939904,2024-09-15,14:00,4373,Kerala Blasters,11167,Punjab FC,finished,1,2
Super League,939905,2024-09-16,14:00,9276,Mohammedan,4368,NorthEast United,finished,0,1
Super League,939906,2024-09-17,14:00,4366,Goa,4369,Jamshedpur,finished,1,2
Super League,939907,2024-09-19,14:00,4365,Bengaluru,4375,Hyderabad,finished,3,0
Super League,939908,2024-09-20,14:00,11167,Punjab FC,4372,Odisha,finished,2,1
Super League,939909,2024-09-21,11:30,4369,Jamshedpur,4367,Mumbai City,finished,3,2
Super League,939910,2024-09-21,14:00,9276,Mohammedan,4366,Goa,finished,1,1
Super League,939911,2024-09-22,14:00,4373,Kerala Blasters,4377,East Bengal,finished,2,1
Super League,939912,2024-09-23,14:00,4376,Mohun Bagan SG,4368,NorthEast United,finished,3,2
Super League,939913,2024-09-25,14:00,11167,Punjab FC,4375,Hyderabad,finished,2,0
Super League,939914,2024-09-26,14:00,4374,Chennaiyin,9276,Mohammedan,finished,0,1
Super League,939915,2024-09-27,14:00,4377,East Bengal,4366,Goa,finished,2,3
Super League,939916,2024-09-28,11:30,4372,Odisha,4369,Jamshedpur,finished,2,1
Super League,939917,2024-09-28,14:00,4365,Bengaluru,4376,Mohun Bagan SG,finished,3,0
Super League,939918,2024-09-29,14:00,4368,NorthEast United,4373,Kerala Blasters,finished,1,1
Super League,939919,2024-10-01,14:00,4375,Hyderabad,4374,Chennaiyin,finished,0,0
Super League,939920,2024-10-02,14:00,4367,Mumbai City,4365,Bengaluru,finished,0,0
Super League,939921,2024-10-03,14:00,4372,Odisha,4373,Kerala Blasters,finished,2,2
Super League,939922,2024-10-04,14:00,4366,Goa,4368,NorthEast United,finished,3,3
Super League,939923,2024-10-05,11:30,4369,Jamshedpur,4377,East Bengal,finished,2,0
Super League,939924,2024-10-05,14:00,4376,Mohun Bagan SG,9276,Mohammedan,finished,3,0
Super League,939925,2024-10-17,14:00,4368,NorthEast United,4374,Chennaiyin,finished,2,3
Super League,939926,2024-10-18,14:00,4365,Bengaluru,11167,Punjab FC,finished,1,0
Super League,939927,2024-10-19,11:30,4366,Goa,4367,Mumbai City,finished,1,2
Super League,939928,2024-10-19,14:00,4377,East Bengal,4376,Mohun Bagan SG,finished,0,2
Super League,939929,2024-10-20,14:00,9276,Mohammedan,4373,Kerala Blasters,finished,1,2
Super League,939930,2024-10-21,14:00,4369,Jamshedpur,4375,Hyderabad,finished,2,1
Super League,939931,2024-10-22,14:00,4372,Odisha,4377,East Bengal,finished,2,1
Super League,939932,2024-10-24,14:00,4374,Chennaiyin,4366,Goa,finished,2,2
Super League,939933,2024-10-25,14:00,4373,Kerala Blasters,4365,Bengaluru,finished,1,3
Super League,939934,2024-10-26,11:30,4368,NorthEast United,4369,Jamshedpur,finished,5,0
Super League,939935,2024-10-26,14:00,9276,Mohammedan,4375,Hyderabad,finished,0,4
Super League,939936,2024-10-27,14:00,4367,Mumbai City,4372,Odisha,finished,1,1
Super League,939937,2024-10-30,14:00,4375,Hyderabad,4376,Mohun Bagan SG,finished,0,2
Super League,939938,2024-10-31,14:00,11167,Punjab FC,4374,Chennaiyin,finished,3,2
Super League,939939,2024-11-02,14:00,4366,Goa,4365,Bengaluru,finished,3,0
Super League,939940,2024-11-03,11:30,4368,NorthEast United,4372,Odisha,finished,3,2
Super League,939941,2024-11-03,14:00,4367,Mumbai City,4373,Kerala Blasters,finished,4,2
Super League,939942,2024-11-04,14:00,4369,Jamshedpur,4374,Chennaiyin,finished,1,5
Super League,939943,2024-11-06,14:00,4366,Goa,11167,Punjab FC,finished,2,1
Super League,939944,2024-11-07,14:00,4373,Kerala Blasters,4375,Hyderabad,finished,1,2
Super League,939945,2024-11-08,14:00,4365,Bengaluru,4368,NorthEast United,finished,2,2
Super League,939946,2024-11-09,11:30,4374,Chennaiyin,4367,Mumbai City,finished,1,1
Super League,939947,2024-11-09,14:00,4377,East Bengal,9276,Mohammedan,finished,0,0
Super League,939948,2024-11-10,14:00,4372,Odisha,4376,Mohun Bagan SG,finished,1,1
