league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Superliga,938696,2024-08-18,18:00,3783,Teuta Durres,3166,Bylis,finished,2,1
Superliga,938697,2024-08-18,18:00,3057,Dinamo Tirana,3640,Egnatia Rrogozhine,finished,0,2
Superliga,938698,2024-08-19,15:00,3528,Laci,3084,Tirana,finished,0,0
Superliga,938694,2024-08-19,18:00,3171,Partizani Tirana,3614,Vllaznia Shkoder,finished,0,1
Superliga,938695,2024-08-19,18:00,3806,Skenderbeu Korce,3536,AF Elbasani,finished,1,1
Superliga,938700,2024-08-25,15:00,3640,Egnatia Rrogozhine,3528,Laci,finished,2,1
Superliga,938699,2024-08-25,18:00,3171,Partizani Tirana,3806,Skenderbeu Korce,finished,2,1
Superliga,938703,2024-08-25,18:00,3614,Vllaznia Shkoder,3084,Tirana,finished,2,2
Superliga,938701,2024-08-26,15:00,3166,Bylis,3057,Dinamo Tirana,finished,1,0
Superliga,938702,2024-08-26,18:00,3536,AF Elbasani,3783,Teuta Durres,finished,3,0
Superliga,938707,2024-08-31,15:00,3528,Laci,3166,Bylis,finished,0,0
Superliga,938704,2024-08-31,18:00,3806,Skenderbeu Korce,3614,Vllaznia Shkoder,finished,1,0
Superliga,938705,2024-08-31,18:00,3783,Teuta Durres,3171,Partizani Tirana,finished,0,2
Superliga,938708,2024-09-01,18:00,3084,Tirana,3640,Egnatia Rrogozhine,finished,1,1
Superliga,938706,2024-09-01,18:00,3057,Dinamo Tirana,3536,AF Elbasani,finished,2,1
Superliga,938711,2024-09-11,14:00,3166,Bylis,3084,Tirana,finished,2,2
Superliga,938713,2024-09-11,17:00,3614,Vllaznia Shkoder,3640,Egnatia Rrogozhine,finished,3,1
Superliga,938710,2024-09-11,17:00,3806,Skenderbeu Korce,3783,Teuta Durres,finished,2,3
Superliga,938709,2024-09-12,17:00,3171,Partizani Tirana,3057,Dinamo Tirana,finished,2,2
Superliga,938712,2024-09-12,17:00,3536,AF Elbasani,3528,Laci,finished,1,0
