league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Super League 1,937277,2024-08-17,17:00,3493,PAOK,5066,Panserraikos,finished,3,2
Super League 1,937273,2024-08-17,17:00,2906,Volos NFC,3544,Olympiakos,finished,0,2
Super League 1,937274,2024-08-18,16:00,3495,Levadiakos,11773,Kallithea,finished,0,0
Super League 1,937275,2024-08-18,17:00,2822,Panathinaikos,4319,Asteras Tripolis,finished,0,1
Super League 1,937272,2024-08-18,17:30,3115,Atromitos,2900,Aris Women,finished,1,1
Super League 1,937271,2024-08-18,19:00,3181,AEK Athens,3524,OFI,finished,3,0
Super League 1,937276,2024-08-19,18:00,3095,Panaitolikos,3111,Lamia,finished,0,1
Super League 1,937281,2024-08-24,16:30,3524,OFI,3115,Atromitos,finished,1,1
Super League 1,937283,2024-08-24,17:00,5066,Panserraikos,2900,Aris Women,finished,0,1
Super League 1,937278,2024-08-24,18:30,3181,AEK Athens,3111,Lamia,finished,1,1
Super League 1,937279,2024-08-25,16:00,4319,Asteras Tripolis,2906,Volos NFC,finished,0,1
Super League 1,937284,2024-08-25,17:30,3493,PAOK,3095,Panaitolikos,finished,2,0
Super League 1,937282,2024-08-25,18:00,2822,Panathinaikos,3495,Levadiakos,finished,1,0
Super League 1,937280,2024-08-26,17:30,3544,Olympiakos,11773,Kallithea,finished,2,1
Super League 1,937291,2024-08-31,16:30,3111,Lamia,3544,Olympiakos,finished,0,3
Super League 1,937286,2024-08-31,17:00,2900,Aris Women,4319,Asteras Tripolis,finished,1,1
Super League 1,937290,2024-08-31,19:00,3095,Panaitolikos,5066,Panserraikos,finished,3,0
Super League 1,937289,2024-09-01,16:00,3495,Levadiakos,3181,AEK Athens,finished,0,3
Super League 1,937288,2024-09-01,16:30,2906,Volos NFC,3524,OFI,finished,1,3
Super League 1,937287,2024-09-01,17:30,3115,Atromitos,3493,PAOK,finished,1,2
Super League 1,937285,2024-09-01,19:00,11773,Kallithea,2822,Panathinaikos,finished,2,2
Super League 1,937298,2024-09-14,15:00,3111,Lamia,11773,Kallithea,finished,0,0
Super League 1,937293,2024-09-14,17:00,4319,Asteras Tripolis,3115,Atromitos,finished,1,2
Super League 1,937296,2024-09-15,13:30,5066,Panserraikos,3495,Levadiakos,finished,2,2
Super League 1,937294,2024-09-15,15:30,3544,Olympiakos,3095,Panaitolikos,finished,0,0
Super League 1,937295,2024-09-15,17:30,3524,OFI,2900,Aris Women,finished,3,2
Super League 1,937297,2024-09-15,17:30,3493,PAOK,2822,Panathinaikos,finished,0,0
Super League 1,937292,2024-09-16,17:00,3181,AEK Athens,2906,Volos NFC,finished,2,0
Super League 1,937302,2024-09-21,14:00,2906,Volos NFC,3493,PAOK,finished,1,4
Super League 1,937300,2024-09-21,17:00,2900,Aris Women,3544,Olympiakos,finished,2,1
Super League 1,937305,2024-09-21,17:30,3095,Panaitolikos,4319,Asteras Tripolis,finished,1,1
Super League 1,937303,2024-09-22,13:30,3495,Levadiakos,3524,OFI,finished,1,1
Super League 1,937304,2024-09-22,15:00,2822,Panathinaikos,5066,Panserraikos,finished,3,1
Super League 1,937301,2024-09-22,17:30,3115,Atromitos,3111,Lamia,finished,4,2
Super League 1,937299,2024-09-22,18:00,11773,Kallithea,3181,AEK Athens,finished,0,0
Super League 1,937308,2024-09-28,14:00,2906,Volos NFC,11773,Kallithea,finished,1,1
Super League 1,937307,2024-09-28,17:00,4319,Asteras Tripolis,3495,Levadiakos,finished,1,1
Super League 1,937310,2024-09-29,14:00,3524,OFI,3095,Panaitolikos,finished,1,2
Super League 1,937309,2024-09-29,15:00,3544,Olympiakos,3115,Atromitos,finished,2,0
Super League 1,937311,2024-09-29,17:30,3493,PAOK,2900,Aris Women,finished,0,1
Super League 1,937306,2024-09-29,18:30,3181,AEK Athens,2822,Panathinaikos,finished,2,0
Super League 1,937312,2024-09-30,17:00,3111,Lamia,5066,Panserraikos,finished,1,2
Super League 1,937315,2024-10-05,15:30,3115,Atromitos,2906,Volos NFC,finished,1,2
Super League 1,937318,2024-10-05,16:30,3095,Panaitolikos,3181,AEK Athens,finished,1,0
Super League 1,937314,2024-10-05,17:00,2900,Aris Women,3111,Lamia,finished,2,0
Super League 1,937319,2024-10-06,13:00,5066,Panserraikos,3524,OFI,finished,2,3
Super League 1,937313,2024-10-06,14:00,11773,Kallithea,4319,Asteras Tripolis,finished,1,3
Super League 1,937317,2024-10-06,17:30,2822,Panathinaikos,3544,Olympiakos,finished,0,0
Super League 1,937316,2024-10-06,17:30,3495,Levadiakos,3493,PAOK,finished,0,2
Super League 1,937323,2024-10-19,14:00,2906,Volos NFC,5066,Panserraikos,finished,0,1
Super League 1,937322,2024-10-19,17:00,3115,Atromitos,3095,Panaitolikos,finished,0,2
Super League 1,937326,2024-10-19,17:30,3111,Lamia,4319,Asteras Tripolis,finished,0,0
Super League 1,937324,2024-10-20,13:00,3544,Olympiakos,3495,Levadiakos,finished,2,2
Super League 1,937325,2024-10-20,15:00,3524,OFI,2822,Panathinaikos,finished,0,1
Super League 1,937321,2024-10-20,17:00,2900,Aris Women,11773,Kallithea,finished,2,0
Super League 1,937320,2024-10-20,17:30,3181,AEK Athens,3493,PAOK,finished,1,1
Super League 1,937331,2024-10-26,14:00,3095,Panaitolikos,2906,Volos NFC,finished,0,1
Super League 1,937329,2024-10-26,14:30,3495,Levadiakos,3111,Lamia,finished,2,2
Super League 1,937332,2024-10-26,17:00,5066,Panserraikos,3181,AEK Athens,finished,1,0
Super League 1,937327,2024-10-27,15:00,4319,Asteras Tripolis,3544,Olympiakos,finished,1,0
Super League 1,937330,2024-10-27,16:00,2822,Panathinaikos,2900,Aris Women,finished,1,1
Super League 1,937333,2024-10-27,19:00,3493,PAOK,3524,OFI,finished,1,2
Super League 1,937328,2024-10-27,19:30,11773,Kallithea,3115,Atromitos,finished,0,3
Super League 1,937339,2024-11-02,15:00,3544,Olympiakos,5066,Panserraikos,finished,2,1
Super League 1,937335,2024-11-02,18:30,11773,Kallithea,3095,Panaitolikos,finished,1,1
