league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
3. Liga,936389,2024-08-02,17:00,4296,1860 Munchen,4307,Saarbrucken,finished,0,1
3. Liga,936398,2024-08-03,12:00,4283,Sandhausen,4287,Osnabruck,finished,1,0
3. Liga,936392,2024-08-03,12:00,3342,Erzgebirge Aue,5990,Hannover 96 II,finished,2,1
3. Liga,936390,2024-08-03,12:00,3340,Rot-Weiss Essen,5669,Alemannia Aachen,finished,1,2
3. Liga,936395,2024-08-03,12:00,4308,Verl,4288,Wehen Wiesbaden,finished,2,2
3. Liga,936394,2024-08-03,12:00,4311,Borussia Dortmund II,4298,Unterhaching,finished,3,0
3. Liga,936393,2024-08-03,14:30,4291,Hansa Rostock,5880,Stuttgart II,finished,1,1
3. Liga,936391,2024-08-04,11:30,4299,Viktoria Koln,4282,Dynamo Dresden,finished,1,2
3. Liga,936397,2024-08-04,14:30,6216,Energie Cottbus,4278,Arminia Bielefeld,finished,1,2
3. Liga,936396,2024-08-04,17:30,4284,Ingolstadt,4297,Waldhof Mannheim,finished,2,1
3. Liga,936404,2024-08-09,17:00,4282,Dynamo Dresden,6216,Energie Cottbus,finished,4,2
3. Liga,936403,2024-08-10,12:00,4288,Wehen Wiesbaden,4291,Hansa Rostock,finished,1,0
3. Liga,936399,2024-08-10,12:00,4298,Unterhaching,4284,Ingolstadt,finished,2,1
3. Liga,936406,2024-08-10,12:00,4297,Waldhof Mannheim,4299,Viktoria Koln,finished,1,2
3. Liga,936407,2024-08-10,12:00,4287,Osnabruck,3342,Erzgebirge Aue,finished,0,2
3. Liga,936408,2024-08-10,12:00,5669,Alemannia Aachen,4308,Verl,finished,1,1
3. Liga,936405,2024-08-10,14:30,4278,Arminia Bielefeld,4311,Borussia Dortmund II,finished,1,0
3. Liga,936402,2024-08-11,11:30,5990,Hannover 96 II,3340,Rot-Weiss Essen,finished,1,3
3. Liga,936401,2024-08-11,14:30,5880,Stuttgart II,4296,1860 Munchen,finished,3,1
3. Liga,936400,2024-08-11,17:30,4307,Saarbrucken,4283,Sandhausen,finished,0,1
3. Liga,936409,2024-08-23,17:00,3342,Erzgebirge Aue,4282,Dynamo Dresden,finished,2,0
3. Liga,936418,2024-08-24,12:00,4283,Sandhausen,5990,Hannover 96 II,finished,0,1
3. Liga,936416,2024-08-24,12:00,4307,Saarbrucken,4284,Ingolstadt,finished,2,3
3. Liga,936411,2024-08-24,12:00,4287,Osnabruck,4298,Unterhaching,finished,4,2
3. Liga,936412,2024-08-24,12:00,4291,Hansa Rostock,4311,Borussia Dortmund II,finished,1,1
3. Liga,936413,2024-08-24,12:00,3340,Rot-Weiss Essen,4278,Arminia Bielefeld,finished,0,0
3. Liga,936417,2024-08-24,14:30,6216,Energie Cottbus,5669,Alemannia Aachen,finished,2,1
3. Liga,936414,2024-08-25,11:30,4296,1860 Munchen,4299,Viktoria Koln,finished,1,3
3. Liga,936415,2024-08-25,14:30,4308,Verl,4297,Waldhof Mannheim,finished,1,1
3. Liga,936410,2024-08-25,17:30,5880,Stuttgart II,4288,Wehen Wiesbaden,finished,2,2
3. Liga,936427,2024-08-30,17:00,4299,Viktoria Koln,4291,Hansa Rostock,finished,3,0
3. Liga,936422,2024-08-31,12:00,4282,Dynamo Dresden,5880,Stuttgart II,finished,2,0
3. Liga,936419,2024-08-31,12:00,5669,Alemannia Aachen,3342,Erzgebirge Aue,finished,1,2
3. Liga,936426,2024-08-31,12:00,4284,Ingolstadt,4296,1860 Munchen,finished,1,2
3. Liga,936425,2024-08-31,12:00,4278,Arminia Bielefeld,4283,Sandhausen,finished,1,1
3. Liga,936420,2024-08-31,12:00,4297,Waldhof Mannheim,4307,Saarbrucken,finished,0,1
3. Liga,936423,2024-08-31,14:30,4311,Borussia Dortmund II,4287,Osnabruck,finished,1,1
3. Liga,936421,2024-09-01,11:30,4288,Wehen Wiesbaden,6216,Energie Cottbus,finished,2,1
3. Liga,936424,2024-09-01,14:30,4298,Unterhaching,3340,Rot-Weiss Essen,finished,2,0
3. Liga,936428,2024-09-01,17:30,5990,Hannover 96 II,4308,Verl,finished,1,2
3. Liga,936435,2024-09-13,17:00,4283,Sandhausen,4311,Borussia Dortmund II,finished,3,1
3. Liga,936429,2024-09-14,12:00,4291,Hansa Rostock,4297,Waldhof Mannheim,finished,1,1
3. Liga,936432,2024-09-14,12:00,3340,Rot-Weiss Essen,4288,Wehen Wiesbaden,finished,0,3
3. Liga,936433,2024-09-14,12:00,4296,1860 Munchen,4282,Dynamo Dresden,finished,2,3
3. Liga,936436,2024-09-14,12:00,4307,Saarbrucken,4298,Unterhaching,finished,1,1
3. Liga,936430,2024-09-14,12:00,5880,Stuttgart II,4284,Ingolstadt,finished,3,2
3. Liga,936438,2024-09-14,14:30,4287,Osnabruck,5990,Hannover 96 II,finished,1,1
3. Liga,936437,2024-09-15,11:30,3342,Erzgebirge Aue,4278,Arminia Bielefeld,finished,1,3
3. Liga,936434,2024-09-15,14:30,4308,Verl,6216,Energie Cottbus,finished,0,3
3. Liga,936431,2024-09-15,17:30,5669,Alemannia Aachen,4299,Viktoria Koln,finished,1,0
3. Liga,936444,2024-09-20,17:00,4298,Unterhaching,3342,Erzgebirge Aue,finished,2,2
3. Liga,936448,2024-09-21,12:00,4282,Dynamo Dresden,4291,Hansa Rostock,finished,1,1
3. Liga,936442,2024-09-21,12:00,4288,Wehen Wiesbaden,4283,Sandhausen,finished,1,3
3. Liga,936439,2024-09-21,12:00,4297,Waldhof Mannheim,4287,Osnabruck,finished,3,2
3. Liga,936440,2024-09-21,12:00,4284,Ingolstadt,3340,Rot-Weiss Essen,finished,2,2
3. Liga,936441,2024-09-21,12:00,6216,Energie Cottbus,5880,Stuttgart II,finished,4,0
3. Liga,936445,2024-09-21,14:30,4278,Arminia Bielefeld,4296,1860 Munchen,finished,0,1
3. Liga,936447,2024-09-22,11:30,5990,Hannover 96 II,4307,Saarbrucken,finished,1,3
3. Liga,936446,2024-09-22,14:30,4299,Viktoria Koln,4308,Verl,finished,2,1
3. Liga,936443,2024-09-22,17:30,4311,Borussia Dortmund II,5669,Alemannia Aachen,finished,3,0
3. Liga,936453,2024-09-24,17:00,3342,Erzgebirge Aue,4288,Wehen Wiesbaden,finished,2,1
