league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
NB I,925714,2024-07-26,16:00,3635,Zalaegerszegi TE,3158,MTK,finished,0,1
NB I,925713,2024-07-26,18:15,6016,Nyiregyhaza Spartacus,5838,Gyori ETO,finished,2,1
NB I,925715,2024-07-28,16:50,3135,Ujpest,3134,Puskas,finished,1,2
NB I,925717,2024-07-28,16:50,3132,Kecskemeti TE,3130,Fehervar,finished,0,0
NB I,925716,2024-07-28,16:50,3159,Diosgyor,4351,Paksi FC,finished,2,2
NB I,925724,2024-08-02,16:50,5838,Gyori ETO,3796,Debrecen,finished,0,3
NB I,925720,2024-08-03,14:00,3130,Fehervar,3159,Diosgyor,finished,3,1
NB I,925723,2024-08-03,17:45,3158,MTK,6016,Nyiregyhaza Spartacus,finished,3,0
NB I,925719,2024-08-03,17:45,2937,Ferencvaros,3132,Kecskemeti TE,finished,1,0
NB I,925721,2024-08-04,16:50,4351,Paksi FC,3135,Ujpest,finished,2,1
NB I,925722,2024-08-04,16:50,3134,Puskas,3635,Zalaegerszegi TE,finished,2,1
NB I,925728,2024-08-09,16:50,3132,Kecskemeti TE,3796,Debrecen,finished,1,1
NB I,925727,2024-08-10,14:00,3159,Diosgyor,2937,Ferencvaros,finished,0,2
NB I,925725,2024-08-10,17:45,3635,Zalaegerszegi TE,4351,Paksi FC,finished,3,1
NB I,925729,2024-08-11,13:45,5838,Gyori ETO,3158,MTK,finished,1,2
NB I,925726,2024-08-11,16:00,3135,Ujpest,3130,Fehervar,finished,4,1
NB I,926344,2024-08-11,18:15,3134,Puskas,6016,Nyiregyhaza Spartacus,finished,3,1
NB I,925730,2024-08-16,18:00,3132,Kecskemeti TE,5838,Gyori ETO,finished,2,1
NB I,925731,2024-08-17,15:00,3796,Debrecen,3159,Diosgyor,finished,0,1
NB I,925732,2024-08-17,17:30,2937,Ferencvaros,3135,Ujpest,finished,1,0
NB I,925733,2024-08-18,13:30,3130,Fehervar,3635,Zalaegerszegi TE,finished,1,1
NB I,925734,2024-08-18,15:45,4351,Paksi FC,6016,Nyiregyhaza Spartacus,finished,2,1
NB I,925735,2024-08-18,18:00,3134,Puskas,3158,MTK,finished,1,0
NB I,925738,2024-08-23,18:00,3135,Ujpest,3796,Debrecen,finished,3,0
NB I,925739,2024-08-24,14:45,3159,Diosgyor,3132,Kecskemeti TE,finished,1,0
NB I,925736,2024-08-25,15:45,6016,Nyiregyhaza Spartacus,3130,Fehervar,finished,3,3
NB I,925745,2024-08-30,18:00,3130,Fehervar,3158,MTK,finished,1,0
NB I,925744,2024-08-31,15:45,3796,Debrecen,3635,Zalaegerszegi TE,finished,3,1
NB I,925742,2024-08-31,18:00,3159,Diosgyor,5838,Gyori ETO,finished,0,0
NB I,925743,2024-09-01,13:00,3132,Kecskemeti TE,3135,Ujpest,finished,1,3
NB I,925746,2024-09-01,15:30,4351,Paksi FC,3134,Puskas,finished,2,1
NB I,926338,2024-09-01,17:45,2937,Ferencvaros,6016,Nyiregyhaza Spartacus,finished,2,1
