league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
AFC Champions League,939623,2024-09-16,16:00,5152,Al Shorta,4788,Al Nassr,finished,1,1
AFC Champions League,939622,2024-09-16,16:00,5114,Al Ain,4740,Al Sadd,finished,1,1
AFC Champions League,939624,2024-09-16,18:00,5108,Esteghlal,4746,Al Gharafa,finished,3,0
AFC Champions League,939625,2024-09-16,18:00,4791,Al Ahli,5104,Persepolis,finished,1,0
AFC Champions League,939627,2024-09-17,10:00,10783,Shandong Taishan,3877,Central Coast Mariners,finished,3,1
AFC Champions League,939626,2024-09-17,10:00,3162,Gwangju,4434,Yokohama F. Marinos,finished,7,3
AFC Champions League,939628,2024-09-17,12:00,4954,Buriram United,3316,Vissel Kobe,finished,0,0
AFC Champions League,939629,2024-09-17,12:00,10782,Shanghai Shenhua,5212,Pohang Steelers,finished,4,1
AFC Champions League,939630,2024-09-17,14:00,5140,Pakhtakor,5125,Al Wasl,finished,0,1
AFC Champions League,939631,2024-09-17,16:00,4742,Al Rayyan,4789,Al Hilal,finished,1,3
AFC Champions League,939632,2024-09-18,10:00,2874,Ulsan,4437,Kawasaki Frontale,finished,0,1
AFC Champions League,939633,2024-09-18,12:00,10773,Shanghai Port,4528,Johor Darul Ta'zim,finished,2,2
AFC Champions League,939635,2024-09-30,16:00,5104,Persepolis,5140,Pakhtakor,finished,1,1
AFC Champions League,939634,2024-09-30,16:00,4740,Al Sadd,5108,Esteghlal,finished,2,0
AFC Champions League,939636,2024-09-30,16:00,5125,Al Wasl,4791,Al Ahli,finished,0,2
AFC Champions League,939637,2024-09-30,18:00,4788,Al Nassr,4742,Al Rayyan,finished,2,1
AFC Champions League,939638,2024-10-01,08:00,3877,Central Coast Mariners,4954,Buriram United,finished,1,2
AFC Champions League,939639,2024-10-01,10:00,4437,Kawasaki Frontale,3162,Gwangju,finished,0,1
