league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
Premijer Liga,933747,2024-08-03,16:45,3940,GOSK Gabela,3935,Radnik Bijeljina,finished,0,1
Premijer Liga,933752,2024-08-03,19:00,3259,Zeljeznicar,3793,Siroki Brijeg,finished,0,1
Premijer Liga,933750,2024-08-04,15:30,3942,Posusje,3945,Igman Konjic,finished,1,0
Premijer Liga,933749,2024-08-04,19:00,3404,Sarajevo,3261,Sloboda Tuzla,finished,3,1
Premijer Liga,933756,2024-08-10,16:45,3261,Sloboda Tuzla,3942,Posusje,finished,0,2
Premijer Liga,933754,2024-08-10,19:00,3258,Velez,3259,Zeljeznicar,finished,1,2
Premijer Liga,933753,2024-08-11,16:45,3935,Radnik Bijeljina,3793,Siroki Brijeg,finished,1,1
Premijer Liga,933758,2024-08-11,19:00,3940,GOSK Gabela,3263,Zrinjski,finished,1,4
Premijer Liga,933757,2024-08-12,15:30,3264,Sloga Doboj,3404,Sarajevo,finished,1,3
Premijer Liga,933761,2024-08-17,15:30,3942,Posusje,3264,Sloga Doboj,finished,1,1
Premijer Liga,933763,2024-08-17,19:00,3259,Zeljeznicar,3945,Igman Konjic,finished,3,1
Premijer Liga,933764,2024-08-18,16:45,3793,Siroki Brijeg,3258,Velez,finished,0,2
Premijer Liga,933762,2024-08-18,19:00,3262,Borac Banja Luka,3261,Sloboda Tuzla,finished,2,0
Premijer Liga,933760,2024-08-19,19:00,3404,Sarajevo,3940,GOSK Gabela,finished,3,1
Premijer Liga,933766,2024-08-23,15:30,3945,Igman Konjic,3793,Siroki Brijeg,finished,0,3
Premijer Liga,933765,2024-08-24,16:45,3935,Radnik Bijeljina,3258,Velez,finished,4,3
Premijer Liga,933767,2024-08-24,19:00,3261,Sloboda Tuzla,3259,Zeljeznicar,finished,0,1
Premijer Liga,933769,2024-08-26,19:00,3940,GOSK Gabela,3942,Posusje,finished,0,1
Premijer Liga,933771,2024-08-30,19:00,3404,Sarajevo,3935,Radnik Bijeljina,finished,2,0
Premijer Liga,933776,2024-08-31,19:00,3258,Velez,3945,Igman Konjic,finished,1,1
Premijer Liga,933774,2024-09-01,16:45,3259,Zeljeznicar,3264,Sloga Doboj,finished,1,1
Premijer Liga,933775,2024-09-01,19:00,3793,Siroki Brijeg,3261,Sloboda Tuzla,finished,1,1
Premijer Liga,933773,2024-09-02,19:00,3262,Borac Banja Luka,3940,GOSK Gabela,finished,3,0
Premijer Liga,933838,2024-09-03,19:00,3263,Zrinjski,3942,Posusje,finished,1,0
Premijer Liga,933748,2024-09-11,18:15,3263,Zrinjski,3264,Sloga Doboj,finished,3,1
Premijer Liga,933777,2024-09-13,16:00,3935,Radnik Bijeljina,3945,Igman Konjic,finished,0,1
