league_name,match_id,date,time,home_team_id,home_team_name,away_team_id,away_team_name,status,home_score,away_score
League Cup,930688,2024-08-13,18:30,4189,Carlisle United,4143,Stoke City,finished,0,2
League Cup,930703,2024-08-13,18:30,4200,Stockport County,2908,Blackburn Rovers,finished,1,6
League Cup,930684,2024-08-13,18:30,4196,Leyton Orient,3065,Newport County,finished,4,1
League Cup,930682,2024-08-13,18:45,3318,Swansea City,4169,Gillingham,finished,3,1
League Cup,930685,2024-08-13,18:45,3066,Colchester United,3430,Reading,finished,2,2
League Cup,930680,2024-08-13,18:45,4160,Charlton Athletic,3063,Birmingham City,finished,0,1
League Cup,930691,2024-08-13,18:45,3305,Burton Albion,3309,Blackpool,finished,0,4
League Cup,930690,2024-08-13,18:45,4197,Barrow,4184,Port Vale,finished,3,2
League Cup,930686,2024-08-13,18:45,4195,Salford City,4166,Doncaster Rovers,finished,0,2
League Cup,930671,2024-08-13,18:45,4175,Walsall,4183,Exeter City,finished,1,1
League Cup,930694,2024-08-13,18:45,4172,Shrewsbury Town,4193,Notts County,finished,3,3
League Cup,930687,2024-08-13,18:45,3061,Rotherham United,4180,Crewe Alexandra,finished,2,1
League Cup,930695,2024-08-13,18:45,4177,Lincoln City,2701,Harrogate Town,finished,1,2
League Cup,930700,2024-08-13,18:45,4141,Huddersfield Town,4182,Morecambe,finished,3,0
League Cup,930672,2024-08-13,18:45,4191,Crawley Town,2713,Swindon Town,finished,4,2
League Cup,930676,2024-08-13,18:45,4165,Portsmouth,3308,Millwall,finished,0,1
League Cup,930670,2024-08-13,18:45,4181,Cambridge United,4155,Queens Park Rangers,finished,1,2
League Cup,930679,2024-08-13,18:45,3285,Cardiff City,3303,Bristol Rovers,finished,2,0
League Cup,930698,2024-08-13,18:45,4154,Preston North End,3073,Sunderland,finished,2,0
League Cup,930701,2024-08-13,18:45,3320,Wigan Athletic,4159,Barnsley,finished,1,1
League Cup,930692,2024-08-13,18:45,4179,Tranmere Rovers,4170,Accrington Stanley,finished,3,0
League Cup,930704,2024-08-13,18:45,3450,Grimsby Town,3075,Bradford City,finished,1,1
League Cup,930693,2024-08-13,18:45,4167,Fleetwood Town,4144,West Bromwich Albion,finished,2,1
League Cup,930696,2024-08-13,18:45,3064,Derby County,5977,Chesterfield,finished,2,1
League Cup,930697,2024-08-13,18:45,4156,Bolton Wanderers,4187,Mansfield Town,finished,1,1
League Cup,930681,2024-08-13,18:45,2826,Watford,4178,Milton Keynes Dons,finished,5,0
League Cup,930675,2024-08-13,18:45,6170,Bromley,4174,AFC Wimbledon,finished,1,2
League Cup,930677,2024-08-13,18:45,2790,Northampton Town,4162,Wycombe Wanderers,finished,0,2
League Cup,930678,2024-08-13,18:45,4151,Bristol City,4161,Coventry City,finished,0,1
League Cup,930673,2024-08-13,18:45,4168,Oxford United,4163,Peterborough United,finished,2,0
League Cup,930674,2024-08-13,18:45,3311,Norwich City,4188,Stevenage,finished,4,3
League Cup,930699,2024-08-13,19:00,4146,Sheffield United,5063,Wrexham,finished,4,2
League Cup,930702,2024-08-14,18:45,4153,Hull City,4152,Sheffield Wednesday,finished,1,2
League Cup,930683,2024-08-14,18:45,4164,Plymouth Argyle,3453,Cheltenham Town,finished,3,0
League Cup,930689,2024-08-14,19:00,4147,Leeds United,4150,Middlesbrough,finished,0,3
