team_id,team_name,win_rate,wins,total_matches
4791,Al Ahli,0.875,7,8
4789,Al Hilal,0.875,7,8
4437,Kawasaki Frontale,0.75,6,8
4434,Yokohama F. Marinos,0.75,6,8
