league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
UEFA European Championship,1,5279,England,3,5,1,2,0,2,1,1
UEFA European Championship,1,5256,Spain,3,9,3,0,0,5,0,5
UEFA European Championship,1,5328,Netherlands,3,4,1,1,1,4,4,0
UEFA European Championship,1,5623,Romania,3,4,1,1,1,4,3,1
UEFA European Championship,1,5618,Austria,3,6,2,0,1,6,4,2
UEFA European Championship,1,5251,Portugal,3,6,2,0,1,5,3,2
UEFA European Championship,1,5310,Germany,3,7,2,1,0,8,2,6
UEFA European Championship,2,5250,France,3,5,1,2,0,2,1,1
UEFA European Championship,2,5276,Switzerland,3,5,1,2,0,5,3,2
UEFA European Championship,2,5269,Belgium,3,4,1,1,1,2,1,1
UEFA European Championship,2,5614,Georgia,3,4,1,1,1,4,4,0
UEFA European Championship,2,5625,Turkiye,3,6,2,0,1,5,5,0
UEFA European Championship,2,5600,Italy,3,4,1,1,1,3,3,0
UEFA European Championship,2,5261,Denmark,3,3,0,3,0,2,2,0
UEFA European Championship,3,5615,Slovakia,3,4,1,1,1,3,3,0
UEFA European Championship,4,5318,Poland,3,1,0,1,2,3,6,-3
UEFA European Championship,4,5617,Czechia,3,1,0,1,2,3,5,-2
UEFA European Championship,4,5621,Ukraine,3,4,1,1,1,2,4,-2
UEFA European Championship,4,5613,Slovenia,3,3,0,3,0,2,2,0
UEFA European Championship,4,5307,Serbia,3,2,0,2,1,1,2,-1
UEFA European Championship,4,5624,Scotland,3,1,0,1,2,2,7,-5
UEFA European Championship,4,5637,Albania,3,1,0,1,2,3,5,-2
UEFA European Championship,5,5630,Hungary,3,3,1,0,2,2,5,-3
UEFA European Championship,6,5260,Croatia,3,2,0,2,1,3,6,-3
