league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Primera Division,1,4061,Herediano,22,46,13,7,2,38,18,20
Primera Division,2,4063,Alajuelense,22,42,10,12,0,28,12,16
Primera Division,3,4072,Puntarenas,22,41,11,8,3,29,18,11
Primera Division,4,4059,Deportivo Saprissa,22,39,11,6,5,30,18,12
Primera Division,5,4062,Cartagines,22,38,11,5,6,29,16,13
Primera Division,6,4070,Sporting San Jose,22,31,9,4,9,25,28,-3
Primera Division,7,5060,Municipal Liberia,22,24,7,3,12,26,26,0
Primera Division,8,4065,Santos de Guapiles,22,24,6,6,10,26,33,-7
Primera Division,9,4060,Perez Zeledon,22,23,6,5,11,16,28,-12
Primera Division,10,4058,San Carlos,22,19,4,7,11,16,23,-7
Primera Division,11,4071,Guanacasteca,22,16,3,7,12,12,33,-21
Primera Division,12,13340,Santa Ana,22,14,2,8,12,22,44,-22
