league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Premier League,1,9051,ML Vitebsk,11,29,9,2,0,21,6,15
Premier League,2,3893,Slavia,11,23,7,2,2,19,11,8
Premier League,3,3609,Dinamo Minsk,10,23,7,2,1,16,10,6
Premier League,4,3891,Isloch,11,21,5,6,0,23,10,13
Premier League,5,3787,Dinamo Brest,11,21,6,3,2,22,11,11
Premier League,6,3634,Torpedo BelAZ,11,17,4,5,2,11,7,4
Premier League,7,3894,Minsk,11,17,5,2,4,16,20,-4
Premier League,8,3610,Gomel,11,15,4,3,4,8,6,2
Premier League,9,3648,Neman Grodno,10,15,5,0,5,13,8,5
Premier League,10,3615,BATE,11,14,4,2,5,13,14,-1
Premier League,11,3896,Vitebsk,11,14,4,2,5,19,15,4
Premier League,12,3252,Naftan,11,10,3,1,7,10,21,-11
Premier League,13,3903,Arsenal,11,9,1,6,4,12,18,-6
Premier League,14,3895,Slutsk,11,8,2,2,7,8,17,-9
Premier League,15,3901,Smorgon,11,5,1,2,8,6,19,-13
Premier League,16,9053,Molodechno,11,0,0,0,11,5,29,-24
