league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
AFC World Cup Qualification,1,5294,Australia,6,18,6,0,0,22,0,22
AFC World Cup Qualification,1,5290,IR Iran,6,14,4,2,0,16,4,12
AFC World Cup Qualification,1,5569,Jordan,6,13,4,1,1,16,4,12
AFC World Cup Qualification,1,5578,Oman,6,13,4,1,1,11,2,9
AFC World Cup Qualification,1,5312,Korea Republic,6,16,5,1,0,20,1,19
AFC World Cup Qualification,1,5335,Qatar,6,16,5,1,0,18,3,15
AFC World Cup Qualification,1,5492,UAE,6,16,5,1,0,16,2,14
AFC World Cup Qualification,1,5490,Iraq,6,18,6,0,0,17,2,15
AFC World Cup Qualification,1,5274,Japan,6,18,6,0,0,24,0,24
AFC World Cup Qualification,2,5542,Korea DPR,6,9,3,0,3,11,7,4
AFC World Cup Qualification,2,5576,Palestine,6,8,2,2,2,6,6,0
AFC World Cup Qualification,2,10796,China PR,6,8,2,2,2,9,9,0
AFC World Cup Qualification,2,5282,Saudi Arabia,6,13,4,1,1,12,3,9
AFC World Cup Qualification,2,5581,Bahrain,6,11,3,2,1,11,3,8
AFC World Cup Qualification,2,5537,Kuwait,6,7,2,1,3,6,6,0
AFC World Cup Qualification,2,5594,Indonesia,6,10,3,1,2,8,8,0
AFC World Cup Qualification,2,5550,Kyrgyz Republic,6,11,3,2,1,13,7,6
AFC World Cup Qualification,2,5497,Uzbekistan,6,14,4,2,0,13,4,9
AFC World Cup Qualification,3,5485,Syria,6,7,2,1,3,9,12,-3
AFC World Cup Qualification,3,3830,JSM Skikda,2,1,0,1,1,0,1,-1
AFC World Cup Qualification,3,5545,Malaysia,6,10,3,1,2,9,9,0
AFC World Cup Qualification,3,5553,Turkmenistan,6,2,0,2,4,4,14,-10
AFC World Cup Qualification,3,5529,Yemen,6,5,1,2,3,5,9,-4
AFC World Cup Qualification,3,5584,Afghanistan,6,5,1,2,3,3,14,-11
AFC World Cup Qualification,3,5567,Tajikistan,6,8,2,2,2,11,7,4
AFC World Cup Qualification,3,5500,Thailand,6,8,2,2,2,9,9,0
AFC World Cup Qualification,3,5573,Lebanon,6,6,1,3,2,5,8,-3
AFC World Cup Qualification,3,5557,Vietnam,6,6,2,0,4,6,10,-4
AFC World Cup Qualification,4,10797,Taiwan,6,0,0,0,6,2,17,-15
AFC World Cup Qualification,4,5589,Singapore,6,1,0,1,5,5,24,-19
AFC World Cup Qualification,4,5591,Myanmar,6,1,0,1,5,3,28,-25
AFC World Cup Qualification,4,5523,India,6,5,1,2,3,3,7,-4
AFC World Cup Qualification,4,5526,Nepal,6,1,0,1,5,2,20,-18
AFC World Cup Qualification,4,5533,Pakistan,6,0,0,0,6,1,26,-25
AFC World Cup Qualification,4,5556,Philippines,6,1,0,1,5,3,14,-11
AFC World Cup Qualification,4,5588,Bangladesh,6,1,0,1,5,1,20,-19
AFC World Cup Qualification,4,10761,"Hong Kong, China",6,2,0,2,4,4,15,-11
