league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Premyer Liqa,1,2947,Qarabag,36,89,28,5,3,86,19,67
Premyer Liqa,2,3604,Zira,36,74,23,5,8,59,27,32
Premyer Liqa,3,5058,Araz Naxcivan,36,58,15,13,8,34,29,5
Premyer Liqa,4,3889,Turan,36,55,14,13,9,45,39,6
Premyer Liqa,5,3795,Sabah,36,48,10,18,8,50,46,4
Premyer Liqa,6,3594,Neftchi Baku,36,43,10,13,13,39,49,-10
Premyer Liqa,7,3785,Shamakhi,36,36,9,9,18,32,46,-14
Premyer Liqa,8,3514,Sumqayit,36,33,9,6,21,31,53,-22
Premyer Liqa,9,3890,Kapaz,36,32,8,8,20,28,65,-37
Premyer Liqa,10,3888,Sabail,36,22,4,10,22,28,59,-31
