league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Premijer Liga,1,3263,Zrinjski,33,82,26,4,3,74,17,57
Premijer Liga,2,3262,Borac Banja Luka,33,81,26,3,4,58,13,45
Premijer Liga,3,3404,Sarajevo,33,65,18,11,4,59,24,35
Premijer Liga,4,3259,Zeljeznicar,33,65,20,5,8,55,38,17
Premijer Liga,5,3793,Siroki Brijeg,33,46,13,7,13,43,46,-3
Premijer Liga,6,3264,Sloga Doboj,33,44,13,5,15,35,45,-10
Premijer Liga,7,3258,Velez,33,42,10,12,11,45,39,6
Premijer Liga,8,3935,Radnik Bijeljina,33,40,12,4,17,44,52,-8
Premijer Liga,9,3942,Posusje,33,37,10,7,16,36,41,-5
Premijer Liga,10,3945,Igman Konjic,33,29,8,5,20,30,66,-36
Premijer Liga,11,3940,GOSK Gabela,33,16,4,4,25,28,76,-48
Premijer Liga,12,3261,Sloboda Tuzla,33,7,1,7,25,21,71,-50
