league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Serie B,1,3951,Goias,12,26,8,2,2,15,8,7
Serie B,2,3983,Novorizontino,12,25,7,4,1,17,7,10
Serie B,3,2815,Coritiba,13,24,7,3,3,12,6,6
Serie B,4,3965,CRB,13,21,6,3,4,13,10,3
Serie B,5,3497,Cuiaba,13,21,6,3,4,15,15,0
Serie B,6,2805,Athletico Paranaense,13,20,6,2,5,18,18,0
Serie B,7,3959,Avai,13,20,5,5,3,17,12,5
Serie B,8,3979,Remo,13,20,5,5,3,15,12,3
Serie B,9,3958,Chapecoense,13,19,6,1,6,16,12,4
Serie B,10,3960,Atletico Goianiense,13,18,4,6,3,14,12,2
Serie B,11,5288,Ferroviaria,13,18,4,6,3,13,12,1
Serie B,12,3962,America Mineiro,13,17,5,2,6,14,15,-1
Serie B,13,3976,Vila Nova,13,16,5,1,7,10,14,-4
Serie B,14,3975,Criciuma,13,16,4,4,5,15,13,2
Serie B,15,3967,Operario PR,12,14,4,2,6,14,16,-2
Serie B,16,4896,Athletic Club,5,3,1,0,4,5,12,-7
Serie B,16,3966,Botafogo SP,13,13,3,4,6,11,17,-6
Serie B,17,11791,Amazonas,13,13,3,4,6,11,18,-7
Serie B,18,3210,Volta Redonda,13,11,2,5,6,6,12,-6
Serie B,19,2751,Paysandu,13,10,2,4,7,7,14,-7
Serie B,20,5498,Athletic Club,12,9,3,0,9,10,20,-10
