league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Erovnuli Liga,1,3515,Saburtalo,18,44,13,5,0,29,10,19
Erovnuli Liga,2,3618,Dila,18,38,12,2,4,32,16,16
Erovnuli Liga,3,3108,Dinamo Batumi,18,30,8,6,4,21,17,4
Erovnuli Liga,4,3007,Dinamo Tbilisi,18,29,8,5,5,23,15,8
Erovnuli Liga,5,3645,Torpedo Kutaisi,18,27,8,3,7,20,20,0
Erovnuli Liga,6,3792,Gagra,18,20,5,5,8,17,22,-5
Erovnuli Liga,7,4268,Samgurali,18,18,5,3,10,26,22,4
Erovnuli Liga,8,11920,Gareji,18,18,4,6,8,17,19,-2
Erovnuli Liga,9,11911,Kolkheti Poti,18,13,3,4,11,12,31,-19
Erovnuli Liga,10,4265,Telavi,18,12,3,3,12,12,37,-25
