league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
CAF World Cup Qualification,1,5439,Gabon,6,15,5,0,1,12,6,6
CAF World Cup Qualification,1,5460,Cabo Verde,6,13,4,1,1,7,5,2
CAF World Cup Qualification,1,5346,Ghana,6,15,5,0,1,15,5,10
CAF World Cup Qualification,1,5472,Algeria,6,15,5,0,1,16,6,10
CAF World Cup Qualification,1,5286,Morocco,5,15,5,0,0,14,2,12
CAF World Cup Qualification,1,5317,Tunisia,6,16,5,1,0,9,0,9
CAF World Cup Qualification,1,5457,South Africa,6,13,4,1,1,10,5,5
CAF World Cup Qualification,1,5284,Egypt,6,16,5,1,0,14,2,12
CAF World Cup Qualification,1,5442,Congo DR,6,13,4,1,1,7,2,5
CAF World Cup Qualification,1,5448,Cote d'Ivoire,6,16,5,1,0,14,0,14
CAF World Cup Qualification,2,10800,Cameroon,6,12,3,3,0,12,4,8
CAF World Cup Qualification,3,5536,Botswana,6,9,3,0,3,9,8,1
CAF World Cup Qualification,3,5482,Burundi,6,10,3,1,2,13,7,6
CAF World Cup Qualification,3,5501,Madagascar,6,10,3,1,2,9,6,3
CAF World Cup Qualification,3,5489,Benin,6,8,2,2,2,6,7,-1
CAF World Cup Qualification,3,5517,Liberia,6,10,3,1,2,7,4,3
CAF World Cup Qualification,3,5575,Sierra Leone,6,8,2,2,2,7,7,0
CAF World Cup Qualification,3,5477,Sudan,6,12,3,3,0,8,2,6
CAF World Cup Qualification,3,5444,Libya,6,8,2,2,2,6,7,-1
CAF World Cup Qualification,3,5530,Tanzania,4,6,2,0,2,2,4,-2
CAF World Cup Qualification,3,5321,Senegal,6,12,3,3,0,8,1,7
CAF World Cup Qualification,4,5436,Uganda,6,9,3,0,3,6,7,-1
CAF World Cup Qualification,4,5463,Zambia,4,3,1,0,3,6,7,-1
CAF World Cup Qualification,4,5484,Namibia,6,12,3,3,0,8,2,6
CAF World Cup Qualification,4,5527,Ethiopia,6,6,1,3,2,7,7,0
CAF World Cup Qualification,4,5301,Nigeria,6,7,1,4,1,7,6,1
CAF World Cup Qualification,4,5508,Kenya,6,6,1,3,2,11,8,3
CAF World Cup Qualification,4,5491,Togo,6,4,0,4,2,4,7,-3
CAF World Cup Qualification,4,5451,Mali,6,9,2,3,1,8,4,4
CAF World Cup Qualification,4,5512,Angola,6,7,1,4,1,4,4,0
CAF World Cup Qualification,4,5494,Equatorial Guinea,6,7,2,1,3,4,8,-4
CAF World Cup Qualification,5,5546,Malawi,6,6,2,0,4,4,6,-2
CAF World Cup Qualification,5,5470,Guinea,6,7,2,1,3,4,5,-1
CAF World Cup Qualification,5,5565,Gambia,6,4,1,1,4,12,13,-1
CAF World Cup Qualification,5,5538,Lesotho,6,6,1,3,2,4,5,-1
CAF World Cup Qualification,5,5559,Guinea-Bissau,6,6,1,3,2,5,7,-2
CAF World Cup Qualification,5,5548,Mauritius,6,5,1,2,3,6,10,-4
CAF World Cup Qualification,5,5552,South Sudan,6,3,0,3,3,2,10,-8
CAF World Cup Qualification,5,5570,Central African Republic,6,5,1,2,3,8,13,-5
CAF World Cup Qualification,5,5506,Comoros,6,12,4,0,2,9,7,2
CAF World Cup Qualification,5,5467,Congo A',3,0,0,0,3,2,13,-11
CAF World Cup Qualification,6,5532,Chad,6,0,0,0,6,1,15,-14
CAF World Cup Qualification,6,5563,Djibouti,6,1,0,1,5,4,20,-16
CAF World Cup Qualification,6,5524,Mauritania,6,2,0,2,4,2,9,-7
CAF World Cup Qualification,6,5521,Eswatini,6,2,0,2,4,4,9,-5
CAF World Cup Qualification,6,5560,Somalia,6,1,0,1,5,3,11,-8
CAF World Cup Qualification,6,5555,Sao Tome e Principe,6,0,0,0,6,2,14,-12
CAF World Cup Qualification,6,5583,Zimbabwe,6,4,0,4,2,5,9,-4
CAF World Cup Qualification,6,3830,JSM Skikda,2,0,0,0,2,1,6,-5
CAF World Cup Qualification,6,5543,Seychelles,6,0,0,0,6,2,30,-28
CAF World Cup Qualification,6,5476,Mozambique,6,12,4,0,2,10,11,-1
CAF World Cup Qualification,6,5572,Eritrea,0,0,0,0,0,0,0,0
CAF World Cup Qualification,7,5454,Burkina Faso,6,11,3,2,1,13,7,6
CAF World Cup Qualification,8,5510,Rwanda,6,8,2,2,2,4,4,0
CAF World Cup Qualification,9,5515,Niger,4,6,2,0,2,6,4,2
