league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
AFC Champions League,1,4789,Al Hilal,8,22,7,1,0,26,7,19
AFC Champions League,1,4434,Yokohama F. Marinos,7,18,6,0,1,21,7,14
AFC Champions League,2,4437,Kawasaki Frontale,7,15,5,0,2,13,4,9
AFC Champions League,2,4791,Al Ahli,8,22,7,1,0,21,8,13
AFC Champions League,3,4528,Johor Darul Ta'zim,7,14,4,2,1,16,8,8
AFC Champions League,3,4788,Al Nassr,8,17,5,2,1,17,6,11
AFC Champions League,4,3162,Gwangju,7,14,4,2,1,15,9,6
AFC Champions League,4,4740,Al Sadd,8,12,3,3,2,10,9,1
AFC Champions League,5,5125,Al Wasl,8,11,3,2,3,8,12,-4
AFC Champions League,5,3316,Vissel Kobe,7,13,4,1,2,14,9,5
AFC Champions League,6,4954,Buriram United,8,12,3,3,2,7,12,-5
AFC Champions League,6,5108,Esteghlal,8,9,2,3,3,8,9,-1
AFC Champions League,7,10782,Shanghai Shenhua,8,10,3,1,4,13,12,1
AFC Champions League,7,4742,Al Rayyan,8,8,2,2,4,8,12,-4
AFC Champions League,8,5140,Pakhtakor,8,7,1,4,3,4,6,-2
AFC Champions League,8,10773,Shanghai Port,8,8,2,2,4,10,18,-8
AFC Champions League,9,5212,Pohang Steelers,7,6,2,0,5,9,17,-8
AFC Champions League,9,5104,Persepolis,8,7,1,4,3,6,10,-4
AFC Champions League,10,4746,Al Gharafa,8,7,2,1,5,10,18,-8
AFC Champions League,10,2874,Ulsan,7,3,1,0,6,4,16,-12
AFC Champions League,11,3877,Central Coast Mariners,7,1,0,1,6,8,18,-10
AFC Champions League,11,5152,Al Shorta,8,6,1,3,4,7,17,-10
AFC Champions League,12,10783,Shandong Taishan,0,0,0,0,0,0,0,0
AFC Champions League,12,5114,Al Ain,8,2,0,2,6,11,22,-11
