league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Ligue 1,1,3501,MC Alger,27,53,14,11,2,34,17,17
Ligue 1,2,3267,Kabylie,27,49,14,7,6,39,27,12
Ligue 1,3,3816,Belouizdad,27,48,13,9,5,40,21,19
Ligue 1,4,3812,Paradou AC,27,38,10,8,9,36,33,3
Ligue 1,5,3814,ES Setif,27,38,10,8,9,20,21,-1
Ligue 1,6,3811,USM Alger,27,37,9,10,8,25,21,4
Ligue 1,7,3833,El Bayadh,27,36,9,9,9,21,21,0
Ligue 1,8,3813,Saoura,27,36,10,6,11,27,31,-4
Ligue 1,9,3815,CS Constantine,26,35,8,11,7,26,24,2
Ligue 1,10,3818,MC Oran,27,34,10,4,13,25,29,-4
Ligue 1,11,3825,ASO Chlef,27,33,7,12,8,23,24,-1
Ligue 1,12,3834,Khenchela,26,31,8,7,11,23,35,-12
Ligue 1,13,15015,Olympique Akbou,27,30,7,9,11,21,23,-2
Ligue 1,14,8914,ES Mostaganem,27,30,7,9,11,18,25,-7
Ligue 1,15,3827,NC Magra,27,27,6,9,12,21,32,-11
Ligue 1,16,3826,US Biskra,27,20,3,11,13,11,26,-15
