league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
CAF Champions League,1,5267,ES Tunis,6,13,4,1,1,12,3,9
CAF Champions League,1,4589,FAR Rabat,6,10,2,4,0,8,4,4
CAF Champions League,1,4860,Orlando Pirates,6,14,4,2,0,10,4,6
CAF Champions League,1,5243,Al Hilal Omdurman,6,10,3,1,2,6,7,-1
CAF Champions League,2,3501,MC Alger,6,9,2,3,1,4,2,2
CAF Champions League,2,4110,Al Ahly,6,10,3,1,2,14,7,7
CAF Champions League,2,4859,Mamelodi Sundowns,6,9,2,3,1,5,4,1
CAF Champions League,2,4112,Pyramids,6,13,4,1,1,14,4,10
CAF Champions League,3,4578,Raja Casablanca,6,8,2,2,2,4,5,-1
CAF Champions League,3,3211,Sagrada Esperanca,6,5,1,2,3,3,10,-7
CAF Champions League,3,5254,Young Africans,6,8,2,2,2,5,6,-1
CAF Champions League,3,3816,Belouizdad,6,9,3,0,3,11,10,1
CAF Champions League,4,5440,Djoliba,6,2,0,2,4,0,12,-12
CAF Champions League,4,5273,TP Mazembe,6,5,1,2,3,7,7,0
CAF Champions League,4,15364,Stade d'Abidjan,6,1,0,1,5,4,18,-14
CAF Champions League,4,5377,Maniema Union,6,3,0,3,3,3,7,-4
