league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
3. Liga,1,4278,Arminia Bielefeld,38,72,21,9,8,64,36,28
3. Liga,2,4282,Dynamo Dresden,38,70,20,10,8,71,40,31
3. Liga,3,4307,Saarbrucken,38,65,18,11,9,59,47,12
3. Liga,4,6216,Energie Cottbus,38,62,18,8,12,64,54,10
3. Liga,5,4291,Hansa Rostock,38,60,18,6,14,54,46,8
3. Liga,6,4299,Viktoria Koln,38,59,18,5,15,59,48,11
3. Liga,7,4308,Verl,38,57,15,12,11,62,55,7
3. Liga,8,3340,Rot-Weiss Essen,38,56,16,8,14,55,54,1
3. Liga,9,4288,Wehen Wiesbaden,38,55,15,10,13,59,60,-1
3. Liga,10,4284,Ingolstadt,38,54,14,12,12,72,63,9
3. Liga,11,4296,1860 Munchen,38,53,15,8,15,57,61,-4
3. Liga,12,5669,Alemannia Aachen,38,50,12,14,12,44,44,0
3. Liga,13,3342,Erzgebirge Aue,38,50,15,5,18,52,65,-13
3. Liga,14,4287,Osnabruck,38,48,13,9,16,46,55,-9
3. Liga,15,5880,Stuttgart II,38,47,12,11,15,49,59,-10
3. Liga,16,4297,Waldhof Mannheim,38,46,11,13,14,43,45,-2
3. Liga,17,4311,Borussia Dortmund II,38,43,11,10,17,53,60,-7
3. Liga,18,5990,Hannover 96 II,38,37,9,10,19,51,70,-19
3. Liga,19,4283,Sandhausen,38,35,9,8,21,49,69,-20
3. Liga,20,4298,Unterhaching,38,25,4,13,21,40,72,-32
