league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Liga 1,1,4382,Persib,34,69,19,12,3,60,33,27
Liga 1,2,4399,Dewa United,34,61,17,10,7,65,33,32
Liga 1,3,15438,Malut United,34,57,15,12,7,48,33,15
Liga 1,4,4378,Persebaya Surabaya,34,56,15,11,8,41,38,3
Liga 1,5,4383,Borneo,34,56,16,8,10,50,38,12
Liga 1,6,4388,PSM,34,53,13,14,7,47,34,13
Liga 1,7,4386,Persija,34,51,14,9,11,47,38,9
Liga 1,8,3230,Bali United,34,50,14,8,12,50,41,9
Liga 1,9,15128,PSBS Biak Numfor,34,48,13,9,12,44,47,-3
Liga 1,10,4385,Arema,34,47,13,8,13,53,51,2
Liga 1,11,4397,Persita,34,43,12,7,15,32,43,-11
Liga 1,12,4396,Persik Kediri,34,41,10,11,13,40,42,-2
Liga 1,13,4393,Semen Padang,34,36,9,9,16,38,60,-22
Liga 1,14,4398,Persis Solo,34,36,9,9,16,34,46,-12
Liga 1,15,4381,Madura United,34,36,10,6,18,36,58,-22
Liga 1,16,4384,PSS Sleman,34,34,11,4,19,43,50,-7
Liga 1,17,4389,Barito Putera,34,34,8,10,16,42,57,-15
Liga 1,18,4390,PSIS Semarang,34,25,6,7,21,29,57,-28
