league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
NB I,1,2937,Ferencvaros,33,69,20,9,4,64,31,33
NB I,2,3134,Puskas,33,66,20,6,7,58,38,20
NB I,3,4351,Paksi FC,33,57,16,9,8,65,47,18
NB I,4,5838,Gyori ETO,33,53,14,11,8,49,37,12
NB I,5,3158,MTK,33,46,13,7,13,53,47,6
NB I,6,3159,Diosgyor,33,44,11,11,11,43,51,-8
NB I,7,3135,Ujpest,33,41,9,14,10,38,44,-6
NB I,8,6016,Nyiregyhaza Spartacus,33,36,9,9,15,31,52,-21
NB I,9,3796,Debrecen,33,34,9,7,17,52,59,-7
NB I,10,3635,Zalaegerszegi TE,33,34,7,13,13,35,42,-7
NB I,11,3130,Fehervar,33,31,8,7,18,34,52,-18
NB I,12,3132,Kecskemeti TE,33,25,4,13,16,31,53,-22
