league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Liga Nacional,1,4342,Olimpia,18,35,10,5,3,29,13,16
Liga Nacional,2,4343,Real Espana,18,35,10,5,3,27,15,12
Liga Nacional,3,2693,Motagua,18,30,8,6,4,33,18,15
Liga Nacional,4,4341,Marathon,18,29,7,8,3,25,14,11
Liga Nacional,5,2749,Victoria,18,24,5,9,4,20,20,0
Liga Nacional,6,5067,Genesis,18,22,4,10,4,22,23,-1
Liga Nacional,7,4349,Olancho,18,21,5,6,7,20,24,-4
Liga Nacional,8,2689,UPNFM,18,16,3,7,8,18,31,-13
Liga Nacional,9,4346,Real Sociedad,18,12,1,9,8,11,26,-15
Liga Nacional,10,10135,Juticalpa,18,12,3,3,12,7,28,-21
