league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Ligue 1,1,4228,PSG,34,84,26,6,2,92,35,57
Ligue 1,2,3769,Marseille,34,65,20,5,9,74,47,27
Ligue 1,3,4234,Monaco,34,61,18,7,9,63,41,22
Ligue 1,4,3027,Nice,34,60,17,9,8,66,41,25
Ligue 1,5,4229,Lille,34,60,17,9,8,52,36,16
Ligue 1,6,4230,Lyon,34,57,17,6,11,65,46,19
Ligue 1,7,4231,Strasbourg,34,57,16,9,9,56,44,12
Ligue 1,8,3295,Lens,34,52,15,7,12,42,39,3
Ligue 1,9,3199,Brest,34,50,15,5,14,52,59,-7
Ligue 1,10,3129,Toulouse,34,42,11,9,14,44,43,1
Ligue 1,11,3002,Auxerre,34,42,11,9,14,48,51,-3
Ligue 1,12,3001,Rennes,34,41,13,2,19,51,50,1
Ligue 1,13,4232,Nantes,34,36,8,12,14,39,52,-13
Ligue 1,14,2849,Angers,34,36,10,6,18,32,53,-21
Ligue 1,15,3139,Le Havre,34,34,10,4,20,40,71,-31
Ligue 1,16,3354,Reims,34,33,8,9,17,33,47,-14
Ligue 1,17,3386,Saint-Etienne,34,30,8,6,20,39,77,-38
Ligue 1,18,3375,Montpellier,34,16,4,4,26,23,79,-56
