league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Serie A,1,3946,Flamengo,11,24,7,3,1,24,4,20
Serie A,2,3956,Cruzeiro,11,23,7,2,2,17,8,9
Serie A,3,3222,RB Bragantino,11,23,7,2,2,14,8,6
Serie A,4,3948,Palmeiras,11,22,7,1,3,12,8,4
Serie A,5,3344,Fluminense,11,20,6,2,3,15,12,3
Serie A,6,2810,Bahia,11,18,5,3,3,11,11,0
Serie A,7,3984,Mirassol,11,17,4,5,2,17,12,5
Serie A,8,3953,Atletico Mineiro,11,17,4,5,2,11,10,1
Serie A,9,3954,Botafogo,10,15,4,3,3,11,5,6
Serie A,10,3955,Ceara,10,15,4,3,3,11,8,3
Serie A,11,3949,Corinthians,11,15,4,3,4,12,14,-2
Serie A,12,3207,Gremio,11,15,4,3,4,11,14,-3
Serie A,13,3067,Sao Paulo,11,12,2,6,3,9,11,-2
Serie A,14,2894,Internacional,11,11,2,5,4,12,16,-4
Serie A,15,3952,Vasco da Gama,11,10,3,1,7,11,15,-4
Serie A,16,3969,Vitoria,11,10,2,4,5,10,14,-4
Serie A,17,3950,Fortaleza,11,10,2,4,5,10,15,-5
Serie A,18,3947,Santos,11,8,2,2,7,8,12,-4
Serie A,19,3963,Juventude,11,8,2,2,7,8,24,-16
Serie A,20,3961,Sport Recife,11,3,0,3,8,5,18,-13
