league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
HNL,1,2989,Rijeka,36,65,18,11,7,49,21,28
HNL,2,2920,Dinamo Zagreb,36,65,19,8,9,69,41,28
HNL,3,2997,Hajduk Split,36,63,17,12,7,49,34,15
HNL,4,4074,Varazdin,36,49,11,16,9,28,24,4
HNL,5,4073,Slaven Koprivnica,36,48,13,9,14,42,45,-3
HNL,6,2797,Istra 1961,36,48,11,15,10,39,42,-3
HNL,7,3599,Osijek,36,42,11,9,16,46,52,-6
HNL,8,3156,Lokomotiva Zagreb,36,39,10,9,17,45,54,-9
HNL,9,2928,HNK Gorica,36,37,9,10,17,29,51,-22
HNL,10,3543,Sibenik,36,30,7,9,20,28,60,-32
