league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
2. Bundesliga,1,3336,FC Cologne,34,61,18,7,9,53,38,15
2. Bundesliga,2,3338,Hamburg,34,59,16,11,7,78,44,34
2. Bundesliga,3,4293,Elversberg,34,58,16,10,8,64,37,27
2. Bundesliga,4,3182,Paderborn,34,55,15,10,9,56,46,10
2. Bundesliga,5,4285,Magdeburg,34,53,14,11,9,64,52,12
2. Bundesliga,6,3328,Fortuna Dusseldorf,34,53,14,11,9,57,52,5
2. Bundesliga,7,4292,Kaiserslautern,34,53,15,8,11,56,55,1
2. Bundesliga,8,3143,Karlsruhe,34,52,14,10,10,57,55,2
2. Bundesliga,9,4277,Hannover 96,34,51,13,12,9,41,36,5
2. Bundesliga,10,3341,Nurnberg,34,48,14,6,14,60,57,3
2. Bundesliga,11,3005,Hertha Berlin,34,44,12,8,14,49,51,-2
2. Bundesliga,12,4279,Darmstadt,34,42,11,9,14,56,55,1
2. Bundesliga,13,3317,Greuther Furth,34,39,10,9,15,45,59,-14
2. Bundesliga,14,4275,Schalke 04,34,38,10,8,16,52,62,-10
2. Bundesliga,15,4304,Preussen Munster,34,36,8,12,14,40,43,-3
2. Bundesliga,16,4289,Eintracht Braunschweig,34,35,8,11,15,38,64,-26
2. Bundesliga,17,6030,Ulm,34,30,6,12,16,36,48,-12
2. Bundesliga,18,3109,Jahn Regensburg,34,25,6,7,21,23,71,-48
