league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Primera Division,1,4018,Coquimbo Unido,13,26,7,5,1,16,7,9
Primera Division,2,4020,Audax Italiano,13,26,8,2,3,23,15,8
Primera Division,3,4016,Palestino,13,24,7,3,3,18,11,7
Primera Division,4,4028,Universidad de Chile,11,22,7,1,3,26,11,15
Primera Division,5,4023,Cobresal,13,22,6,4,3,18,13,5
Primera Division,6,4021,O'Higgins,13,20,5,5,3,13,15,-2
Primera Division,7,4014,Universidad Catolica,12,18,5,3,4,18,13,5
Primera Division,8,4017,Union La Calera,13,18,5,3,5,13,10,3
Primera Division,9,4015,Colo Colo,10,17,5,2,3,16,9,7
Primera Division,10,4019,Huachipato,13,17,5,2,6,18,20,-2
Primera Division,11,4031,La Serena,13,16,5,1,7,17,24,-7
Primera Division,12,4032,Nublense,13,15,3,6,4,11,18,-7
Primera Division,13,11437,Deportes Limache,12,11,3,2,7,14,19,-5
Primera Division,14,4024,Everton,13,11,2,5,6,13,23,-10
Primera Division,15,4022,Union Espanola,11,6,2,0,9,10,22,-12
Primera Division,16,4027,Deportes Iquique,12,5,1,2,9,11,25,-14
