league_name,position,team_id,team_name,games_played,points,wins,draws,losses,goals_for,goals_against,goal_difference
Premier League,1,3068,Arsenal,0,0,0,0,0,0,0,0
Premier League,2,2912,Aston Villa,0,0,0,0,0,0,0,0
Premier League,3,2916,Chelsea,0,0,0,0,0,0,0,0
Premier League,4,4139,Everton,0,0,0,0,0,0,0,0
Premier League,5,4145,Fulham,0,0,0,0,0,0,0,0
Premier League,6,4138,Liverpool,0,0,0,0,0,0,0,0
Premier League,7,4136,Manchester City,0,0,0,0,0,0,0,0
Premier League,8,4137,Manchester United,0,0,0,0,0,0,0,0
Premier League,9,3071,Newcastle United,0,0,0,0,0,0,0,0
Premier League,10,3073,Sunderland,0,0,0,0,0,0,0,0
Premier League,11,2909,Tottenham Hotspur,0,0,0,0,0,0,0,0
Premier League,12,3059,West Ham United,0,0,0,0,0,0,0,0
Premier League,13,3104,Burnley,0,0,0,0,0,0,0,0
Premier League,14,4140,Crystal Palace,0,0,0,0,0,0,0,0
Premier League,15,3074,Wolverhampton Wanderers,0,0,0,0,0,0,0,0
Premier League,16,3072,AFC Bournemouth,0,0,0,0,0,0,0,0
Premier League,17,3200,Brighton & Hove Albion,0,0,0,0,0,0,0,0
Premier League,18,4147,Leeds United,0,0,0,0,0,0,0,0
Premier League,19,4149,Nottingham Forest,0,0,0,0,0,0,0,0
Premier League,20,4148,Brentford,0,0,0,0,0,0,0,0
